/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-17070-20039.wav, Приготовим тесто Тесто будет песочное
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-20039-23329.wav, Нам понадобятся два яичных желтка
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-40160-42560.wav, К желткам добавляем щепотку соли
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-54160-57200.wav, не растопленное а именно комнатной температуры
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-57520-59920.wav, Аккуратно все перемешиваем
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-66500-68500.wav, либо мелкий сахар
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-79760-83920.wav, Перемешиваем все лопаткой или руками
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-86220-89610.wav, Если у вас есть дома кухонный комбайн можно воспользоваться им
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-90260-93340.wav, Он облегчит процесс замешивания теста
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-96080-98880.wav, Долго месить тесто руками я не рекомендую
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-99180-101780.wav, В противном случае если вы долго будете замешивать
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-108560-111720.wav, оно мягкое податливое и послушное
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-111720-114380.wav, А чтобы оно лучше раскатывалось мы переложим его
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-121290-125070.wav, Пока наше тесто в холодильнике мы займемся подготовкой карамелек
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-128549-131749.wav, Для очищения лучше брать карамельки желтого красного или зеленого цвета
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-132029-134469.wav, Какиенибудь яркие они наверняка понравятся вашим деткам
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-140259-144439.wav, Должны получится примерно см кубики
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-145220-146780.wav, Это можно делать ножом на доске
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-149089-151609.wav, и измельчить при помощи скалки
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-159779-163059.wav, Теперь займемся тестом Оно у нас наверняка уже охладилось
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-182380-185100.wav, Раскатывать тесто слишком тонко я не рекомендую
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-186080-189360.wav, Потому как печенье может сломаться в процессе запекания
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-190829-195389.wav, Поэтому толщина примерно мм этого будет достаточно
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-204180-207620.wav, Теперь можно вырезать печенье любой формы
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-210439-213399.wav, Мы сделаем печеньки побольше
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-213400-218780.wav, их будет удобнее потом вешать на елку
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-222520-224520.wav, Обрезки теста мы убираем
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-224520-228820.wav, и будем использовать их потом повторно для изготовления печенья
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-232660-236980.wav, Маленькой формочкой сделаем в центре наших звездочек отверстия
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-237500-240020.wav, И достанем их потом мы их наполним
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-240020-242020.wav, разноцветными стеклышками
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-242589-244929.wav, Можно помогать себе ножом или вилкой
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-255520-258880.wav, для этого мы воспользуемся пластиковой трубочкой соломинкой
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-264660-268260.wav, Выкладываем наше печенье прямо на бумаге на противень
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-268779-272599.wav, И ставим в разогретую до градусов духовку
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-280180-281880.wav, Оно должно слегка подзолотиться
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-281880-283880.wav, а потом мы добавим в середину карамельки
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-293700-297080.wav, положим в середнки кусочки карамели
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-302809-307049.wav, Карамель расплавится и займет все свободное пространство
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-307049-309049.wav, Ставим обратно в духовку
/Users/gosha/Projects/youtube-audio-captions-parsing/data/0aEaj4DjhkE/parts/0aEaj4DjhkE-313420-315880.wav, Пара минут и все будет готово
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-869-3039.wav, Всем привет и добро пожаловать на мой канал
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-3039-5640.wav, Сегодня ребята я покажу вам
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-5640-8150.wav, как приготовить этот удивительно вкусный
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-8150-10619.wav, Чизкейк без выпечки
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-10619-12289.wav, Больше всего мне нравится
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-12289-14899.wav, как сочетаются карамельная прослойка
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-14899-17199.wav, с воздушным сыром Маскарпоне
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-17199-19800.wav, Итак давайте приступим
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-19800-22289.wav, Для основы чизкейка нам понадобится грн печенье
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-26230-29920.wav, грамм Маскарпоне миллилитров жирных
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-30909-33909.wav, грамм сахара и грамма желатина
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-35210-37620.wav, Первым делом замочим желатин
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-37620-39940.wav, и добавлять его будем к маскарпоне
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-44180-46560.wav, тем временем пока желатин набухает
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-46560-49560.wav, измельчим печенье в мелкую крошку
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-77860-80560.wav, переступаем ее в разъемную форму
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-87550-89330.wav, теперь наша задача как следует
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-90850-93390.wav, которая послужит основой для нашего
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-102010-104210.wav, в таком виде отправляем чизкейк
/Users/gosha/Projects/youtube-audio-captions-parsing/data/1zCGQG_8ykM/parts/1zCGQG_8ykM-105330-107850.wav, и пока снова замерзает приготовим
